Reference_ID,open_now,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
449709ce21d9bd394fb7f22ea454525cb73ef575,1,"Monday: 9:30 AM – 9:00 PM","Tuesday: 9:30 AM – 9:00 PM","Wednesday: 9:30 AM – 10:00 PM","Thursday: 9:30 AM – 10:00 PM","Friday: 9:30 AM – 10:00 PM","Saturday: 9:30 AM – 10:00 PM","Sunday: 11:00 AM – 10:00 PM"
372df5e9042a11282ed757ca7f774d69c1fce8e3,1,"Monday: 9:00 AM – 11:00 PM","Tuesday: 9:00 AM – 11:00 PM","Wednesday: 9:00 AM – 11:00 PM","Thursday: 9:00 AM – 11:00 PM","Friday: 9:00 AM – 12:00 AM","Saturday: 9:00 AM – 12:00 AM","Sunday: 10:00 AM – 11:00 PM"
1311aa4d64e50b3098fc099dadef0d5cc07a428d,1,"Monday: 6:00 AM – 2:00 AM","Tuesday: 6:00 AM – 2:00 AM","Wednesday: 6:00 AM – 2:00 AM","Thursday: 6:00 AM – 2:00 AM","Friday: 6:00 AM – 2:00 AM","Saturday: 6:00 AM – 2:00 AM","Sunday: 6:00 AM – 2:00 AM"
e153b1cda4f4b9087af33ee7f73b240b9fd134ac,1,"Monday: 10:00 AM – 7:00 PM","Tuesday: 10:00 AM – 7:00 PM","Wednesday: 10:00 AM – 9:00 PM","Thursday: 10:00 AM – 9:00 PM","Friday: 10:00 AM – 9:00 PM","Saturday: 10:00 AM – 8:00 PM","Sunday: 11:00 AM – 7:00 PM"
bae36c826149905c8cd17b8a03342adb11d941a6,1,"Monday: 11:30 AM – 11:00 PM","Tuesday: 11:30 AM – 11:00 PM","Wednesday: 11:30 AM – 11:00 PM","Thursday: 11:30 AM – 11:00 PM","Friday: 11:30 AM – 11:00 PM","Saturday: 11:30 AM – 11:00 PM","Sunday: 11:30 AM – 11:00 PM"
faba922dc750be4f54873eb269019624e31e3d61,,,,,,,,
b175a0594799c03d45d20b8d0dd28ee6f1fa535e,,,,,,,,
a0c0aa6d50bdfc15fe342af6dc03d414dd6be2e9,1,"Monday: 12:00 – 9:00 PM","Tuesday: 12:00 – 9:00 PM","Wednesday: 12:00 – 9:00 PM","Thursday: 12:00 – 9:00 PM","Friday: 12:00 – 10:00 PM","Saturday: 12:00 – 10:00 PM","Sunday: 12:00 – 10:00 PM"
715c0e770f3632e73cd6de08e85e18d4b423be6f,1,"Monday: 11:00 AM – 10:30 PM","Tuesday: 11:00 AM – 10:30 PM","Wednesday: 11:00 AM – 10:30 PM","Thursday: 11:00 AM – 11:00 PM","Friday: 11:00 AM – 12:00 AM","Saturday: 11:00 AM – 12:00 AM","Sunday: 11:00 AM – 11:00 PM"
dec4fea47407f28c49068a057a86ecfc2bfc3bab,1,"Monday: 11:30 AM – 1:00 AM","Tuesday: 11:30 AM – 1:00 AM","Wednesday: 11:30 AM – 4:00 AM","Thursday: 11:30 AM – 7:00 AM","Friday: 10:00 AM – 12:00 AM","Saturday: Open 24 hours","Sunday: 12:00 – 1:00 AM, 7:00 AM – 1:00 AM"
e5989dfd036ebcba4ffcc68fa46cb87b9a225388,1,"Monday: 12:00 – 9:30 PM","Tuesday: 12:00 – 9:30 PM","Wednesday: 12:00 – 9:30 PM","Thursday: 12:00 – 10:30 PM","Friday: 12:00 – 10:30 PM","Saturday: 12:00 – 10:30 PM","Sunday: 1:00 – 9:30 PM"
4447d4c77d432c9f89fec1aef32a2144a22c80ff,1,"Monday: 11:30 AM – 11:30 PM","Tuesday: 11:30 AM – 11:30 PM","Wednesday: 11:30 AM – 11:30 PM","Thursday: 11:30 AM – 11:30 PM","Friday: 11:30 AM – 4:00 AM","Saturday: 11:30 AM – 4:00 AM","Sunday: 11:30 AM – 11:30 PM"
88b855b255891586a542870dc0feda94843399ae,1,"Monday: 9:00 AM – 3:00 AM","Tuesday: 9:00 AM – 3:00 AM","Wednesday: 9:00 AM – 3:30 AM","Thursday: 9:00 AM – 4:00 AM","Friday: 9:00 AM – 5:00 AM","Saturday: 8:00 AM – 5:00 AM","Sunday: 10:00 AM – 12:00 AM"
8f44c88f1ec1decc429343cba86befb767b5dcdd,1,"Monday: 10:00 AM – 8:00 PM","Tuesday: 10:00 AM – 8:00 PM","Wednesday: 10:00 AM – 9:00 PM","Thursday: 10:00 AM – 10:00 PM","Friday: 10:00 AM – 8:00 PM","Saturday: 10:00 AM – 8:00 PM","Sunday: 11:00 AM – 8:00 PM"
4b814f02cfada420ea18ec2addab7dffab28fc58,1,"Monday: 11:30 AM – 1:00 AM","Tuesday: 11:30 AM – 1:00 AM","Wednesday: 11:30 AM – 3:00 AM","Thursday: 11:30 AM – 3:00 AM","Friday: 11:30 AM – 12:00 AM","Saturday: 11:30 AM – 4:00 AM","Sunday: 11:30 AM – 1:00 AM"
