id,reference_id,name,address,slug,food_type,food_type1,food_type2,food_type3,food_type4,food_type5,food_type6,food_type7,food_type8
,35649f7a425f9839b0214371331a0724b852e7b5,Supermacs,"18 Main St, An Charraig Dhubh, Co. Dublin, Ireland",supermacs,Burger
,2c299ff5c26fe87ed643b25ac02bc8e9ebd47c89,"Gotham South Restaurant & Cafe","4 Kilmacud Rd Lower, Dublin, Ireland",gotham-south-restaurant-cafe,Burger
,45b143b5b7aa68de914ac4ae816d55b4b888e999,Supermac's,"Unit 2, Walkinstown Mall, Walkinstown Rd, Walkinstown, Dublin, Ireland",supermacs,Burger
,8f3b0d56a6a3363c0e72b9584de3005aae154501,"Ruby's Pizza & Grill","F16a, The Pavilions, Malahide Rd, Swords, Co. Dublin, Ireland",rubys-pizza-grill,Burger
,b4f1e7796f53f39a6cfa0cc0d4ef0f7fb2ddaf24,"Bison Bar & BBQ","11 Wellington Quay, Dublin Southside, Dublin, D2, Ireland",bison-bar-bbq,Burger
,6f79636fb8508e7efd4024aa152995da13f4e03c,Romayos,"Chapel View, Donabate, Co. Dublin, Ireland",romayos,Burger
,ca304b540b23c329154c5e3e92c8ec86576c20be,"The Hamburger Bar","47 Kilbarrack Rd, Kilbarrack Lower, Dublin, Ireland",the-hamburger-bar,Burger
,0104502ae0e5fba0990a315be8ebbeea4f081f16,"Aussie BBQ","5 South Richmond St, Dublin 2, Ireland",aussie-bbq,Burger
,416b253e977f1d779754ad85cf3095d68c1ff902,"Upper Deck Restaurant","15 Harbour Rd, Dublin Northside, Howth, Co. Dublin, Ireland",upper-deck-restaurant,Burger
,7b85dddb7c39481b5c9bde49b37a2d116bf4d873,"B Borza","359 Ballyfermot Rd, Dublin, Ireland",b-borza,Burger
,84e541d6becfcbdf017c9ece69d6caa5e189031c,"The Quays Irish Restaurant","12 Temple Bar, Dublin, Ireland",the-quays-irish-restaurant,Burger
,ffe7fe9af05918233d47c3fdc3893c7d46e91ced,CrackBird,"60 Dame St, Dublin 2, D02 E089, Ireland",crackbird,Burger
,04bc65ca0da5d69afc9cb049958672c0af8419b0,Aprile,"46 Richmond St S, Dublin 2, Ireland",aprile,Burger
,bc21e85f447958c7b7aec495b671b44293535c81,"Miami Cafe","55 George's Street Lower, Dublin, Ireland",miami-cafe,Burger
,9680aec61aa68a34423143c1665857c93534234a,"Flanagans Restaurant","61 O'Connell Street Upper, Dublin, Ireland",flanagans-restaurant,Burger
,b77322ad919211a9d3aab2f68006052df4e93a31,skinflint,"19 Crane Ln, Dublin 2, D02 E089, Ireland",skinflint,Burger
,c9bf1324eac0fb8a85d754588df872750786e095,"Alvitos Italian Restaurant & Grill Room","Main St, St. Catherine's Park, Leixlip, Co. Kildare, Ireland",alvitos-italian-restaurant-grill-room,Burger
,48371a0da31cb125d17a9c10db800a169a99cc52,"Farmhill Restaurant","9 Farmhill Rd, Goatstown, Dublin 14, Ireland",farmhill-restaurant,Burger
,ba35e12c6874600efd6bf7cfcf827cd159b2ad97,MAIA,"47 Shelbourne Rd, Dublin, Ireland",maia,Burger
,d6292e1097d6fa6a5c31bd513afa1ab18084eb29,"Cleaver East By Oliver Dunne","6 Essex St E, Dublin 2, Ireland",cleaver-east-by-oliver-dunne,Burger
,6a89ed0d375ea710cd52dc20c22e0a36a89a323a,"Wasabi Restaurant Sushi Bar","77 Dorset Street Upper, Inns Quay, Dublin, Ireland",wasabi-restaurant-sushi-bar,Burger
,f945c00a3fc52ea508abe859e876be3950fc9a4c,"Pasha Restaurant Dublin","65 Dorset Street Upper, Dublin 1, Ireland",pasha-restaurant-dublin,Burger
,01759834f37fb441e5c4a9bb9f77af2739696274,O'Connells,"135 Morehampton Rd, Dublin 4, DUBLIN 4, Ireland",oconnells,Burger
,bdae395aa275a8544dd9cb52e21c1bc58315bd7c,Beshoff's,"6 O'Connell Street Upper, Dublin, Ireland",beshoffs,Burger
